input_line,query_name,query_birth,query_death,query_state,chosen_memorial_url,chosen_memorial_id,parsed_name,parsed_birth,parsed_death,parsed_place,parsed_bio_snippet,match_score
Detective Lavern S. Brann Memorial Highway,Detective Lavern S Brann Memorial Highway,,,,,,,,,,,0.000
Matt Urban Memorial Bridge,Matt Urban Memorial Bridge,,,,https://www.findagrave.com/memorial/199480383/matthew-bridge,199480383,Matthew Bridge (1830-1888) - Find a Grave Memorial,18,18,"Burial Evergreen Cemetery Los Angeles , Los Angeles County , California , USA Add to Map Memorial ID 199480383 199480383",,0.293
Veterans Memorial Bridge,Veterans Memorial Bridge,,,,,,,,,,,0.000
Peter A. Pettalia Memorial Highway,Peter A Pettalia Memorial Highway,,,,,,,,,,,0.000
Lansing Firefighter Dennis E. Rodeman Memorial Highway,Lansing Firefighter Dennis E Rodeman Memorial Highway,,,,,,,,,,,0.000
107th Engineer Memorial Road,107th Engineer Memorial Road,,,,,,,,,,,0.000
Mitchel A. Kiefer Foundation for Distracted Driver Awareness Highway,Mitchel A Kiefer Foundation for Distracted Driver Awareness Highway,,,,,,,,,,,0.000
United Spanish War Veterans' Memorial Highway,United Spanish War Veterans' Memorial Highway,,,,,,,,,,,0.000
Veteran's Memorial Highway,Veteran's Memorial Highway,,,,,,,,,,,0.000
Officer James Bonneau Memorial Bridge,James Bonneau Memorial Bridge,,,,,,,,,,,0.000
Dr. Martin Luther King Jr. Memorial Highway,Martin Luther King Jr Memorial Highway,,,,,,,,,,,0.000
Fallen Soldiers of Iraqi Freedom Memorial Highway,Fallen Soldiers of Iraqi Freedom Memorial Highway,,,,,,,,,,,0.000
Major Andrew Becker USAF Memorial Hwy,Andrew Becker USAF Memorial Hwy,,,,,,,,,,,0.000
Veterans Memorial Highway,Veterans Memorial Highway,,,,,,,,,,,0.000
Heath Michael Robinson Cut River Memorial Bridge,Heath Michael Robinson Cut River Memorial Bridge,,,,,,,,,,,0.000
Sojourner Truth Memorial Highway,Sojourner Truth Memorial Highway,,,,,,,,,,,0.000
Harry Gast Parkway,Harry Gast Parkway,,,,,,,,,,,0.000
Trooper Robert J. Mihalik Memorial Highway,Robert J Mihalik Memorial Highway,,,,,,,,,,,0.000
Ontonagon County Veterans Memorial Bridge,Ontonagon County Veterans Memorial Bridge,,,,https://www.findagrave.com/memorial/27359830/o-h-bridges,27359830,O H Bridges (unknown-1907) - Find a Grave Memorial,19,,"Buried at Lee Mission Cemetery, Salem, Marion County, Oregon, United States of America, North America O H Bridges",,0.257
Kenneth J. Moraska Memorial Highway,Kenneth J Moraska Memorial Highway,,,,,,,,,,,0.000
Roberts-Linton Highway and Veterans of World War I Memorial Highway,Roberts-Linton Highway and Veterans of World War I Memorial Highway,,,,,,,,,,,0.000
Tpr. Steven B. Devries Memorial Highway,Tpr Steven B Devries Memorial Highway,,,,,,,,,,,0.000
Leif Erikson Memorial Highway,Leif Erikson Memorial Highway,,,,,,,,,,,0.000
